OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasureValue.Original,TADA.ResultMeasureValue.Flag,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionLimitMeasureValue.Original,TADA.DetectionLimitMeasureValue.Flag,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,MethodSpecificationName,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210719-4901790-0720-4-C,Sample-Routine,WATER,NA,7/20/2021,9:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4901790,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.562,0.562,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,8/3/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,7/20/2021 16:00,NA,BEAR R. AT HAMPTON'S FORD XING,River/Stream,NA,16010204,NA,NA,NA,NA,41.78689,-112.10637,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-LAKES210705-4920350-0706-4-C,Sample-Routine,WATER,NA,7/6/2021,10:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4920350,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.539,0.539,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,7/14/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,7/6/2021 17:00,NA,WILLARD CANAL AB WILLARD BAY RES,Canal Transport,NA,16020102,NA,NA,NA,NA,41.3505,-112.068,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210719-4901180-0719-4-C,Sample-Routine,WATER,NA,7/19/2021,10:30:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4901180,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,2.1,2.1,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,7/27/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,7/19/2021 17:30,NA,BLACK SLOUGH BL BRIGHAM CY WWTP @ FOREST RD XING,River/Stream,NA,16010204,NA,NA,NA,NA,41.50966,-112.07745,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-NPSETAL210805-4950800-0810-4-C,Sample-Routine,WATER,NA,8/10/2021,11:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,National Park Service,UTAHDWQ_WQX-4950800,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,TOTAL,NA,NA,ND or NA,MG/L,U,Accepted,NA,Actual,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,8/30/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,8/10/2021 18:00,NA,La Verkin Ck at Lee Pass Trail,River/Stream,NA,15010008,NA,NA,NA,NA,37.4072,-113.17578,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210809-4902700-0810-4-C,Sample-Routine,WATER,NA,8/10/2021,12:50:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4902700,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,3.17,3.17,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,8/18/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,8/10/2021 19:50,NA,MALAD R BL TREMONTON WWTP,River/Stream,NA,16010204,NA,NA,NA,NA,41.69715,-112.16162,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-SPANISHFKR210909-5919920-0909-4-C,Sample-Routine,WATER,NA,9/9/2021,11:58:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,Division of Water Quality,UTAHDWQ_WQX-5919920,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.553,0.553,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,9/24/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,9/9/2021 18:58,NA,SPANISH FORK R AT HIGHWAY 91,River/Stream,NA,16020202,NA,NA,NA,NA,40.09496,-111.65493,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Non-Point Source (NPS) Monitoring,"This will include monitoring events for the purposes of determining NPS project effectiveness, including baseline conditions for projects, anything that would be funded by NPS grants; we'd like to track this separately.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-CUWJPRESDC210722-5913240-0722-29-C,Sample-Routine,WATER,NA,7/22/2021,10:53:00,MST,NA,NA,NA,2.5,m,NA,NA,NA,NA,NA,306,Central Utah Water Conservancy District,UTAHDWQ_WQX-5913240,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,DISSOLVED,NA,NA,ND or NA,MG/L,U,Accepted,NA,Calculated,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,4500-NORG D,APHA,4500 NORG D ~ Block Digestion and Flow Injection Analysis,NA,Chem-Tech Ford,8/3/2021,NA,Lower Reporting Limit,1,1,Numeric,MG/L,NA,STORET,7/22/2021 17:53,NA,DEER CREEK RES UPPER END 03,Lake,NA,16020203,NA,NA,NA,NA,40.46329,-111.48324,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210920-4900751-0921-4-C,Quality Control Sample-Equipment Blank,WATER,NA,9/21/2021,17:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4900751,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,DISSOLVED,NA,NA,ND or NA,MG/L,U,Accepted,NA,Actual,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,10/1/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,9/22/2021 0:00,NA,EQUIPMENT BLANK Bear River Watershed Crew 1,River/Stream,Equipment Blank,16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210913-4996540-0914-4-C,Sample-Routine,WATER,NA,9/14/2021,12:10:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4996540,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,13.8,13.8,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,9/27/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,9/14/2021 19:10,NA,MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE),River/Stream,NA,16020201,NA,NA,NA,NA,40.20309,-111.65621,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-LAKES210927-5906900-0929-4-C,Sample-Routine,WATER,NA,9/29/2021,13:25:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-5906900,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.215,0.215,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,10/12/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,9/29/2021 20:25,NA,WOODRUFF CK AB WOODRUFF CK RES,River/Stream,NA,16010101,NA,NA,NA,NA,41.46244,-111.34882,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-LAKES210817-4937125-0818-4-C,Sample-Routine,WATER,NA,8/18/2021,7:55:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4937125,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,1.33,1.33,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,9/2/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,8/18/2021 14:55,NA,Ouray Park Canal at Mouth ab Pelican Lake,Canal Irrigation,NA,14060001,NA,NA,NA,NA,40.19588,-109.69699,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BORLP210920-5952770-0923-29-C,Sample-Routine,WATER,NA,9/23/2021,10:05:00,MST,NA,NA,NA,56.5,m,NA,NA,NA,NA,NA,306,Bureau of Reclamation,UTAHDWQ_WQX-5952770,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.648,0.648,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,10/12/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,9/23/2021 17:05,NA,LAKE POWELL HALLS XING/ BULLFROG MILE 95,Lake,NA,14070001,NA,NA,NA,NA,37.47194,-110.72653,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210712-4917600-0712-2-C,Sample-Integrated Vertical Profile,WATER,NA,7/12/2021,11:40:00,MST,NA,NA,NA,NA,NA,NA,0,m,2,m,302,Division of Water Quality,UTAHDWQ_WQX-4917600,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,1.23,1.23,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,7/19/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,7/12/2021 18:40,NA,UTAH LAKE GOSHEN BAY SOUTHWEST END,Lake,NA,16020201,NA,NA,NA,NA,40.06024,-111.87438,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210913-4994950-0914-4-C,Sample-Routine,WATER,NA,9/14/2021,13:45:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4994950,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,1.39,1.39,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,9/29/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,9/14/2021 20:45,NA,SPRING CK BL LEHI MILL POND,River/Stream,NA,16020201,NA,NA,NA,NA,40.36856,-111.83549,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-LAKES210830-5931000-0831-2-C,Sample-Integrated Vertical Profile,WATER,NA,8/31/2021,10:20:00,MST,NA,NA,NA,NA,NA,NA,0,m,2,m,302,Division of Water Quality,UTAHDWQ_WQX-5931000,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,1.21,1.21,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,9/9/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,8/31/2021 17:20,NA,SCOFIELD RES SW PERRY BOAT CAMP 04,Lake,NA,14060007,NA,NA,NA,NA,39.78952,-111.13484,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210712-4917770-0713-2-C,Sample-Integrated Vertical Profile,WATER,NA,7/13/2021,11:10:00,MST,NA,NA,NA,NA,NA,NA,0,m,2,m,302,Division of Water Quality,UTAHDWQ_WQX-4917770,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.795,0.795,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,7/20/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,7/13/2021 18:10,NA,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,Lake,NA,16020201,NA,NA,NA,NA,40.18857,-111.73131,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-CHALKCK210812-4926361-0812-4-C,Sample-Routine,WATER,NA,8/12/2021,12:58:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,Division of Water Quality,UTAHDWQ_WQX-4926361,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.443,0.443,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,8/26/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,8/12/2021 19:58,NA,Fish Creek at road xing  AB S. Fk Chalk Ck confluence,River/Stream,NA,16020101,NA,NA,NA,NA,40.90572,-111.22474,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Non-Point Source (NPS) Monitoring,"This will include monitoring events for the purposes of determining NPS project effectiveness, including baseline conditions for projects, anything that would be funded by NPS grants; we'd like to track this separately.",NA,N,NA,NA,NA
